ques,ans
"What is Namami Gange project in Bihar?
","Under Namami Gange Program, the development of river front on Narayani River in the district of Gopalganj, Bihar has been undertaken and two Ghats have been constructed at a total cost of Rs. 6.62 crore.
"
"
","
"
"What are the benefits of Namami Gange project?
","Namami Ganga is project by the government of India to clean the holy river Ganga . In past there was a lot of pollution due to industrial waste discharge . What are the objectives of Namami Ganga project ? The aim of Namami Ganga project is not only to stop the pollution of river but also to clean it further .
"
"
","
"
"Namami Gange Programme
","is an Integrated Conservation Mission, approved as ‘Flagship Programme’ by the Union Government in June 2014 with budget outlay of Rs.20,000 Crore to accomplish the twin objectives of effective abatement of pollution, conservation and rejuvenation of National River Ganga.
"
"
","
"
"Creating Sewerage Treatment Capacity in Namami Gange
","48 sewage management projects are under implementation and 99 sewage projects have been completed in the states of Uttarakhand, Uttar Pradesh, Bihar, Jharkhand, West Bengal, Delhi, Himachal Pradesh, Haryana, and Rajasthan. 27 sewage projects are under tendering and 8 new sewage projects launched in these states. Work is under construction for creating a sewerage capacity of 5658.37 (MLD).
"
"
","
"
"Creating River-Front Development in Namami Gange
","71 Ghats/Crematoria projects for construction, modernization, and renovation of 270 Ghats/Crematoria and Kunds/Ponds have been initiated.
"
"
","
"
"River Surface Cleaning in Namami Gange
","River Surface cleaning for collection of floating solid waste from the surface of the Ghats and River and its disposal are afoot and pushed into service at 11 locations.
"
"
","
"
"Bio-Diversity Conservation in Namami Gange
","One of NMCG’s long-term visions for Ganga rejuvenation is to restore viable populations of all endemic and endangered biodiversity of the river, so that they occupy their full historical range and fulfil their role in maintaining the integrity of the Ganga river ecosystems. To address this, Wildlife Institute of India (WII), Dehradun, Central Inland Fisheries Research Institute (CIFRI), Kolkata & Uttar Pradesh State Forest Department has been awarded projects to develop science - based aquatic species restoration plan for Ganga River by involving multiple stakeholders along with conservation & restoration of aquatic biodiversity.As per the field research conducted by WII, high biodiversity areas have been identified in river Ganga for focused conservation action, rescue & rehabilitation centers have been established for the rescued aquatic biodiversity, cadre of volunteers (Ganga Praharis) have been developed and trained to support conservation actions in the field, floating interpretation centre “Ganga Tarini” and interpretation centre “Ganga Darpan” have been established for developing awareness on biodiversity conservation and Ganga rejuvenation, key ecosystem services of Ganga river have been identified and an assessment framework developed to strengthen the environmental services in the river basin.CIFRI has carried out the assessment of fish and fisheries in the basin to record the available fish species and has mapped it in GIS platform to understand the status and distribution of fishes in Ganga. Tagging procedures has also been initiated to see the migration pattern of identified fish like Hilsa. CIFRI is also conducting ranching and awareness programmes at various locations in the river basin for conservation and restoration of Indian Major Carps (IMC) & Mahseer in Ganga.Further, the Uttar Pradesh State Forest Department is implementing the ‘Expansion of conservation breeding program of freshwater turtles and Gharial at Kukrail Gharial Rehabilitation Centre, Lucknow’ which will help in revival and restoration of Gharials and turtles in the Ganga basin.
"
"
","
"
"Afforestation in Namami Gange
","One of the major components of Ganga rejuvenation is ‘forestry interventions’ to enhance the productivity and diversity of the forests in head water areas and all along the river and its tributaries. Accordingly, Forest Research Institute (FRI), Dehradun prepared a Detailed Project Report (DPR) for afforestation in an area of 1,34,106 hectares in the Ganga river bank states of Uttarakhand, Uttar Pradesh, Bihar, Jharkhand and West Bengal at an estimated cost of Rs. 2293.73 Crores. The FRI DPR provides for taking up works under four major heads viz. Natural landscape, Agriculture landscape, Urban landscape and Conservation interventions.The main purpose of the proposed forestry interventions is to contribute towards holistic conservation of river Ganga, including improving the flow in the river (Aviralta) by adopting a multi-pronged approach throughout the pre-defined Ganga riverscape. The project of “Forestry Interventions for Ganga” is being implemented by State Forest Departments of Uttarakhand, Uttar Pradesh, Bihar, Jharkhand, and West Bengal as per the FRI DPR since year 2016-17, for which NMCG is providing financial support to the respective State Forest Departments.
"
"
","
"
"what is NMCG
","National Mission for Clean Ganga
"
"
","
"
"Public Awareness in Namami Gange
","A series of activities such as events, workshops, seminars and conferences and numerous IEC activities were organized to make a strong pitch for public outreach and community participation in the programme. Various awareness activities through rallies, campaigns, exhibitions, shram daan, cleanliness drives, competitions, plantation drives and development and distribution of resource materials were organized and for wider publicity the mass mediums such as TV/Radio, print media advertisements, advertorials, featured articles and advertorials were published. Gange Theme song was released widely and played on digital media to enhance the visibility of the programme. NMCG ensured presence at Social Media platforms like Facebook, Twitter, You Tube etc
"
"
","
"
"Industrial Effluent Monitoring in Namami Gange
","The number of Grossly Polluting Industries (GPIs) in April, 2019 are 1072. Regulation and enforcement through regular and surprise inspections of GPIs is carried out for compliance verification against stipulated environmental norms. The GPIs are also inspected on annual basis for compliance verification of the pollution norms and process modification, wherever required through third party technical institutes. First round of inspection of GPIs by the third-party technical institutes has been carried out in 2017. Second round of inspection of GPIs has been completed in 2018. Out of 961 GPIs inspected in 2018, 636 are complying, 110 are non-complying and 215 are self-closed. Action has been taken against 110 non-complying GPIs and are issued closure directions under Section 5 of the E(P) Act. Online Continuous Effluent Monitoring Stations (OCEMS) connectivity established to CPCB server in 885 out of 1072 GPIs.
"
"
","
"
"Ganga Gram in Namami Gange
","Ministry of Drinking Water and Sanitation (MoDWS) identified 1674 Gram Panchayats situated on the bank of River Ganga in 5 State (Uttarakhand,Uttar Pradesh,Bihar,Jharkhand,West Bengal). Rs. 578 Crores has been released to Ministry of Drinking Water and Sanitation (MoDWS) for construction of toilets in 1674 Gram Panchayats of 5 Ganga Basin States. Out of the targeted 15, 27,105 units, MoDWS has completed construction of 8, 53,397 toilets. Consortium of 7 IITs has been engaged in the preparation of Ganga River basin Plan and 65 villages has been adopted by 13 IITs to develop as model villages. UNDP has been engaged as the executing agency for rural sanitation programme and to develop Jharkhand as a model State at an estimated cost of Rs. 127 Crore.
"
"
","
"
"National Mission for Clean Ganga (NMCG)
","NMCG was registered as a society on 12th August 2011 under the Societies Registration Act 1860.It acted as implementation arm of National Ganga River Basin Authority(NGRBA) which was constituted under the provisions of the Environment (Protection) Act (EPA),1986. NGRBA has since been dissolved with effect from the 7th October 2016, consequent to constitution of National Council for Rejuvenation, Protection and Management of River Ganga (referred as National Ganga Council) 
"
"
","
"
"The Act envisages five tier structure at national, state and district level to take measures for prevention, control and abatement of environmental pollution in river Ganga and to ensure continuous adequate flow of water so as to rejuvenate the river Ganga 
","National Ganga Council under chairmanship of Hon’ble Prime Minister of India, Empowered Task Force (ETF) on river Ganga under chairmanship of Hon’ble Union Minister of Jal Shakti (Department of Water Resources, River Development and Ganga Rejuvenation), National Mission for Clean Ganga(NMCG), State Ganga Committees and, District Ganga Committees in every specified district abutting river Ganga and its tributaries in the states.NMCG has a two tier management structure and comprises of Governing Council and Executive Committee. Both of them are headed by Director General, NMCG. Executive Committee has been authorized to accord approval for all projects up to Rs.1000 crore. Similar to structure at national level, State Programme Management Groups (SPMGs) acts as implementing arm of State Ganga Committees. Thus the newly created structure attempts to bring all stakeholders on one platform to take a holistic approach towards the task of Ganga cleaning and rejuvenation.
"
"
","
"
"The Director General (DG) of NMCG
","The Director General (DG) of NMCG is a Additional Secretary in Government of India. For effective implementation of the projects under the overall supervision of NMCG, the State Level Program Management Groups (SPMGs) are, also headed by senior officers of the concerned States.
"
"
","
"
"Annual Report Namami Gange
","NAMAMI GANGE - An Integrated Ganga Conservation Mission, Committees Under NMCG Authority Order, Financial Structuring & Controls, Municipal Sewerages, Solid Waste Management, Industrial Pollution Abatement, Pollution, Inventorisation, Assessment & Surveillance on river Ganga, The Concept of Ecological Flow, Conserving Aquatic Biodiversity in Ganga Basin, Project Monitoring, Water Quality Monitoring of River Ganga, Ganga Knowledge Centre, Communication and Public Outreach, Development of Ghats & Crematoria, Arth Ganga, Ganga Task Force, Clean Ganga Fund, International Support and Collaboration, SPMG Uttarakhand, SMCG Uttar Pradesh, SPMG Bihar, SPMG Jharkhand, SPMG West Bengal.
"
"
","
"
"Ganga - A National River
","The Himalayas are the source of three major Indian rivers namely the Indus, the Ganga and the Brahmaputra. Ganga drains a basin of extraordinary variation in altitude,climate, land use, flora & fauna, social and cultural life.Ganga has been a cradle of human civilization since time immemorial. Millions depend on this great river for physical and spiritual sustenance. People have immense faith in the powers of healing and regeneration of the Ganga. It is arguably the most sacred river in the world and is deeply revered by the people of this country. The River plays a vital role in religious ceremonies and rituals. To bathe in Ganga is a lifelong ambition of many who congregate in large numbers for several river centered festivals such as Kumbh Mela and numerous Snan (bath) festivals.
"
"
","
"
"Namami Gange Locations
","Ganga basin is the largest river basin in India in terms of catchment area, constituting 26% of the country's land mass (8,61,404 Sq. km) and supporting about 43% of its population (448.3 million as per 2001 census). The basin lies between East longitudes 73°02’ and 89°05’ and North latitudes of 21°06’ and 31°21’, covering an area of 1,086,000 sq km, extending over India, Nepal and Bangladesh. About 79% area of Ganga basin is in India. The basin covers 11 states viz., Uttarakhand, U.P., M.P., Rajasthan, Haryana, Himachal Pradesh, Chhattisgarh, Jharkhand, Bihar, West Bengal and Delhi.The current focus of world bank funded National Ganga River Basin Projects (NGRBP) of NMCG is on five major states on the main stem of river Ganga namely Uttarakhand, Uttar Pradesh, Jharkhand, Bihar and West Bengal. The drainage area in each state is given in Table. Uttarakhand and Uttar Pradesh - 294364, Madhya Pradesh and Chhattisgarh - 198962, Bihar and Jharkhand - 143961, Rajasthan - 112490, West Bengal - 71485, Haryana - 34,341, Himachal Pradesh - 4317, Delhi - 1484
"
"
","
"
"Namami Gange total distance covered
","Total 861404
"
"
","
"
"Ganga Basin Climate
","The annual average rainfall in the basin varies between 39 cm to 200 cm, with an average of 110 cm. Eighty percent of the rainfall occurs during the monsoon months i.e. from June to October. Because of large temporal variations in precipitation over the year, there is wide fluctuation in the flow characteristics of the river.
"
"
","
"
"Course of Ganga Basin
","Bhagirathi is the source stream of Ganga. It emanates from Gangotri Glacier at Gaumukh at an elevation of 3, 892 m (12,770 feet). Many small streams comprise the headwaters of Ganga. The important among these are Alaknanda, Dhauliganga, Pindar, Mandakini and Bhilangana. At Devprayag, where Alaknanda joins Bhagirathi, the river acquires the name Ganga. It traverses a course of 2525 km before flowing into the Bay of Bengal. It has a large number of tributaries joining it during this journey. In Uttarakhand, Tehri dam has been built on Bhagirathi for hydropower generation resulting in regulated additional water discharge during the dry months. At Haridwar, Ganga opens to the Gangetic Plains, where a barrage diverts a large quantity of its waters into the Upper Ganga Canal, to provide water for irrigation. At Bijnore, another barrage diverts water into the Madhya Ganga Canal but only during monsoon months. At Narora, there is further diversion of water into the Lower Ganga Canal. Further down, River Ramganga joins Ganga near Kannauj, adding additional water to the river. Yamuna confluences Ganga at the Sangam in Allahabad, making a major contribution to the river flow. Beyond Allahabad, Ganga is joined by several tributaries, most of which are from the north and a few from the south. In the stretch between Allahabad in U.P. and Malda in West Bengal, Ganga, therefore, has considerable flow. The Farakka barrage in West Bengal regulates the flow of the river, diverting some of the water into a feeder canal linking Hooghly to keep it relatively silt-free.Downstream of this barrage, River Ganga splits,into two, Bhagirathi (Hooghly) on the right and Padma on the left. Bhagirathi (Hooghly) meets the Bay of Bengal about 150 km downstream of Kolkata. Padma enters Bangladesh and meets river Brahmputra and Meghna before finally joining the Bay of Bengal.
"
"
","
"
"Ganga River Basin Management Plan
","A comprehensive River Basin Management Plan for Ganga is being prepared by the consortium of seven Indian Institutes of Technology (IITs) (Kanpur,Delhi,Madras,Bombay,Kharagpur,Guwahati and Roorkee). The Plan is being prepared with the objectives of taking comprehensive measures for restoration of the wholesomeness of the Ganga ecosystem and improvement of its ecological health, with due regard to the issue of competing water uses in the river basin. The wholesomeness of the river can be grasped in terms of four defining concepts: “Aviral Dhara” (Continuous Flow”), “Nirmal Dhara”(“Unpolluted Flow”), Geologic Entity, and Ecological Entity.
"
"
","
"
"Ganga Vision
","NMCG is the implementation wing of National Ganga Council which was setup in October 2016 under the River Ganga Authority order 2016. Initially NMCG was registered as a society on 12th August 2011 under the Societies Registration Act 1860. It acted as implementation arm of National Ganga River Basin Authority (NGRBA) which was constituted under the provisions of the Environment (Protection) Act (EPA) 1986. NGRBA has since been dissolved with effect from the 7th October 2016, consequent to constitution of National Council for Rejuvenation, Protection and Management of River Ganga (referred to as National Ganga Council).
"
"
","
"
"Major Policy Initiatives Under NGRBA
","Tripartite Memorandum of Agreement (MoA), Independent Appraisal of Details Project Reports(DPRs), Third Part Inspections, City Level Monitoring Committees, Revised Guidelines for Preparation of Details Project Reports(DPRs), Dolphin Conservation, Streamlining of Review and Monitoring mechanism in States, Involvement of NGRBA experts, Public Outreach and Awareness, Involvement of youth, Ganga Knowledge Centre, Water Quality Monitoring with focus on Real time, Online assessment, Ganga River Basin Management Plan(GRBMP).
"
"
","
"
"External Funding
","The Central Government has approved the projects for ‘World Bank’ assistance to National Ganga River Basin Authority(NGRBA) for abatement of pollution of river Ganga’ at an estimated cost of Rs.7000 crore. The Bank will support the Government of India by providing technical assistance and financing of US $ 1 billion (approx. 4600 crore).The World Bank Board has approved this project on 31st May 2011.The Loan agreement with World Bank has been signed on 14th June 2011.Japan International Cooperation Agency (JICA) is supporting one project on Ganga in Varanasi worth Rs. 496.9 Crore on 85:15 basis.
"
"
","
"
"Funding Mechanism
","The investments required to create the necessary treatment and sewerage infrastructure would be shared between Centre and State Governments on 70:30 basis.The State Governments would be required to motivate ULBs for resource recovery and revenue generation. Also, the cost of Operations and Maintenence(O&M)for the initial five years in NGRBA projects would be shared between Centre and States in the ratio of 70:30 with a periodical review.
"
"
","
"
"Hydrology of Ganga Basin
","Rainfall, subsurface flows and snow melt from glaciers are the main sources of water in river Ganga. Surface water resources of Ganga have been assessed at 525 billion cubic meter (BCM). Out of its 17 main tributaries Yamuna, Sone, Ghagra and Kosi contribute over half of the annual water yield of the Ganga. These tributaries meet the Ganga at Allahabad and further downstream. The river has a problem of low flows between the Haridwar - Allahabad stretch. December to May are the months of lean flow in the Ganga. On an average, each square km of the Ganga basin receives a million cubic meter (MCM) of water as rainfall. 30% of this is lost as evaporation, 20% seeps to the subsurface and the remaining 50% is available as surface runoff. The deep channel of the river bounded by high banks facilitates the passage of ground water as base flow. Annual flooding is the characteristic of all rivers in the Ganga basin. The Ganga rises during the monsoon but the high banks restrict the flood water from spreading. The flood plain is usually 0.5 to 2 km wide. This active flood plain is flooded every year. In addition to this the existing structures on the Ganga Basin also affect its discharge.
"
"
","
"
"Pollution Threat
","Rapidly increasing population, rising standards of living and exponential growth of industrialisation and urbanisation have exposed water resources, in general, and rivers, in particular, to various forms of degradation. The mighty Ganga is no exception. The deterioration in the water quality impacts the people immediately. Ganga, in some stretches, particularly during lean seasons has become unfit even for bathing. The threat of global climate change, the effect of glacial melt on Ganga flow and the impacts of infrastructural projects in the upper reaches of the river, raise issues that need a comprehensive response. In the Ganga basin approximately 12,000 million litres per day (mld) sewage is generated, for which presently there is a treatment capacity of only around 4,000 mld. Approximately 3000 mld of sewage is discharged into the main stem of the river Ganga from the Class I & II towns located along the banks, against which treatment capacity of about 1000 mld has been created till date. The contribution of industrial pollution, volume-wise, is about 20 per cent but due to its toxic and non- biodegradable nature, this has much greater significance. The industrial pockets in the catchments of Ramganga and Kali rivers and in Kanpur city are significant sources of industrial pollution. The major contributors are tanneries in Kanpur, distilleries, paper mills and sugar mills in the Kosi, Ramganga and Kali river catchments.
"
"
","
"
"Physiographic Aspects of Ganga Basin
","Structurally, the Ganga basin comprises of three large divisions of the Indian subcontinent, namely: the Himalayan fold mountains, the Central Indian highlands and the Peninsular shield, and the Gangetic plain. The Himalayan Fold Mountains include numerous snow peaks rising above 7000 meters. Each of these peaks is surrounded by snow fields and glaciers. All the tributaries are characterised by well regulated flows and assured supply of water throughout the year. The Gangetic plain, in which the main stem of Ganga lies, consists of alluvial formation and is a vast flat depositional surface at an elevation below 300 meters.
"
"
","
"
"Soil Charcterstices of Ganga Basin
","The Ganga basin consists of a wide variety of soils. While soils of the high Himalayas in the north are subject to continuous erosion, the Gangetic plain provides a huge receptacle into which thousands of meters of thick layers of sediments have been deposited to form a wide valley plain. The Deccan plateau on the south has a mantle of residual soils of varying thickness arising out of weathering of ancient rocks of the peninsular shield. Some of the soils are highly susceptible to erosion. Mountain soils, submontane soils and alluvial soils, covering 58% of the basin area, have very high erodibility; red soils covering 12% of the basin area have high erodibility, red & yellow soils and mixed red and black soils covering an area of 8% have moderate erodibility, and deep black soils and medium black soils covering an area of 14% have low erodibility Shallow black soils and lateritic soils covering an area of 6% have very low erodibility. Broadly, it can be said that soils in Haryana, Uttarakhand, Uttar Pradesh, Bihar, Jharkhand and West Bengal, through which the main stem of Ganga and all its tributaries flow, have very high erodibility.
"
"
","
"
"Demography of Ganga Basin
","Demography has an important bearing on the state of the river as it is significantly affected by the population living within the basin. Average population density in the Ganga basin is 520 persons per square km as against 312 for the entire country (2001 census). Major cities of Delhi, Kolkata, Kanpur, Lucknow, Patna, Agra, Meerut, Varanasi and Allahabad are situated in the basin. The cities in the basin have large and growing populations and a rapidly expanding industrial base.
"
"
","
"
"Namami Gange Programme
","Namami Gange Programme is an Integrated Conservation Mission, approved as a Flagship Programme by the Union Government of India in June 2014 with a budget outlay of Rs.22500 crore from 2023-26 to accomplish the twin objectives of effective abatement of pollution, conservation and rejuvenation of National River Ganga. It aimed at engaging with the community which will connect various interest groups including Scientists, Technology companies, Investors and community members. NMCG(National Mission For Clean Ganga) has decided to declare Chacha Chaudhary the popular comic book character, as the mascot of the Namami Gange Programme a statement issued by the Ministry of Jal Shakti. Under the Namami Gange Programme, all the drains falling into the river Saryu in the religious and historical city of Ayodhya are being tapped and contaminated water is being transported to the sewerage treatment plant. The research division of Namami Gange is led by CGanga, established under the aegis of IIT Kanpur. Clean Ganga roadshow, which was inaugurated on the sidelines of COP26 in Glasgow resulted in forming four chapters in Scotland, Wales, Midlands and London to connect various interest groups with the Namami Gange Programme. Over 30000 seeds of India's major carps which are declining in the entire Ganga River like catla, rohu, and mrigal fishes were released on the confluence of the Ganga and the Yamuna in Prayagraj Sangam. National Mission for Clean Ganga (NMCG) show that out of 341 projects, 147 (or 43 per cent) are completed in which majority of projects are related to sewage infrastructure and 61 out of 157 sewage projects (39 per cent) have been completed. During the flag-off of the MV Ganga Vilas cruise, Prime Minister Narendra Modi said, “Ganga ji is not just a river and we are taking a twin approach through Namami Gange and Arth Ganga to serve this holy river.”
"
"
","
"
"Namami Gange mascot
","Namami Gange mascot Chacha Chaudhary
"
"
","
"
"Pollution of the Ganges or Ganga
","Pollution of the Ganges, the largest river in the Indian subcontinent, poses significant threats to human health and the larger environment. The river, which is severely polluted with human waste and industrial contaminants, provides water to about 40% of India's population across 11 states, serving an estimated population of 500 million people, which is more than any other river in the world. Today, the Ganges is considered to be the fifth-most polluted river in the world. An Indian photographer has noted that no one in India spoke of the Ganges as being polluted until the late 1970s. However, pollution had been an old and continuous process in the river by the time people were finally acknowledging it. Stretches of over 600 km (370 mi) were essentially ecologically dead zones. A number of initiatives were undertaken to clean the river, but failed to deliver significant results. After getting elected, India's Prime Minister Narendra Modi affirmed to work on cleaning the river and controlling pollution. Subsequently, the Namami Ganga project was announced by the government in the June 2014 budget. An estimated Rs 3000 crores (US$460 million) had been spent by July 2016 in various efforts to clean up the river.
"
"
","
"
"Causes of pollution of the Ganges or Ganga
","The main causes of water pollution in the Ganges River, like many other rivers, are the disposal of human sewage and animal waste, increasing population density, and the disposal of industrial waste into the river.
"
"
","
"
"Human Waste in the Ganges or Ganga
","The river flows through 100 cities with populations over 100000 97 cities with population between 50000 and 100000, and about 48 towns. A large proportion of the sewage water with higher organic load in the Ganges is from this population through domestic water usage.
"
"
","
"
"Industrial waste in the Ganges or Ganga
","Because of the establishment of a large number of industrial cities on the bank of the Ganga like Kanpur, Prayagraj, Varanasi and Patna, countless tanneries, chemical plants, textile mills, distilleries, slaughterhouses, and hospitals prosper and grow along with this and actively play a role in polluting the Ganges by dumping untreated waste into it. One coal-based power plant on the banks of the Pandu River, a Ganges tributary near the city of Kanpur, burns 600000 tons of coal each year and produces 210000 tons of fly ash. The ash is dumped into ponds from which a slurry is filtered, mixed with domestic wastewater, and then released into the Pandu River. Fly ash contains toxic heavy metals such as lead and copper. The amount of parts per million of copper released in the Pandu before it even reaches the Ganga is a thousand times higher than in uncontaminated water. Industrial effluents are about 12% of the total volume of effluent reaching the Ganges. Although a relatively low proportion, they are a cause for major concern because they are often toxic and non-biodegradable. Plastic and industrial waste, such as wastewater from the factories that sit on the banks of the Ganga, is another cause of pollution. The most worrying problem facing the river is its increasing lack of water. Water for irrigation is being removed faster than the rainy season can replenish it.
"
"
","
"
"Religious traditions in the Ganges or Ganga
","During festival seasons, over 70 million people bathe in the Ganges to cleanse themselves of their past sins. Some materials like food, waste or leaves are left in the Ganges, which are also responsible for its pollution. Traditional beliefs hold that being cremated on its banks and floating down the Ganges will cleanse the sins of those who die and carry them directly to salvation. In Varanasi alone, an estimated forty thousand bodies are cremated every year and are deposited into the Ganga. Because many families cannot afford the high cost of sufficient quantities of cremation wood, many of the bodies deposited into the Ganges are only half-burnt.
"
"
","
"
"Dams and pumping stations in the Ganges or Ganga
","Built in 1854 during the British colonization of India, the Haridwar dam has led to decay of the Ganges by greatly diminishing the flow of the river. The Farakka Barrage was built originally to divert fresh water into the Hooghly River but has since caused an increase of salinity in the downstream of the Ganges, having a damaging effect on the ground water and soil along the river. The barrage has caused major tension between Bangladesh and India. Bangladesh is actively considering to construct Ganges Barrage Project for mitigating the salinity problem. The government of India has planned about 300 dams on the Ganges and its tributaries in the near future despite a government-commissioned green panel report that has recommended scrapping 34 of the dams citing environmental concerns. Three more barrages across the Ganges main river are existing at Bijnor, Narora and Kanpur. The barrages at Bijnor and Narora divert all the water including baseflows during dry season to the canals for irrigating vast area up to Allahabad city. Most of the water available at the upstream of the Kanpur barrage is used during dry season for the drinking water needs of cities. Downstream of Kanpur barrage, adequate water is not available from the barrage to dilute the polluted water reaching the main river during the dry seasons of year. There are number of pumping stations located on the banks (right and left) of the Ganges downstream of Kanpur barrage serving the irrigation requirements of huge area. These large pump houses are located at Rukunpur 26°10′21″N 80°38′57″E, Kanjauli Kachhar 25°17′37″N 82°13′15″E, Hakanipur Kalan 25°12′57″N 83°01′15″E, Bhosawali 25°20′46″N 83°10′11″E, Shekpur 25°32′13″N 83°11′57″E, Chochakpur 25°28′55″N 83°25′11″E, Lamui 25°23′20″N 83°32′11″E, Chausa 25°31′11″N 83°54′04″E, etc. (Refer to Google Earth maps.) These lift irrigation schemes are pumping out most of the base flows available in the main river down stream of Kanpur city. To make the Ganges live/flowing and dilute the polluted water inflows from habitations and industries, at least 5000 cusecs flow is required from Narora to Farakka as minimum environmental flow during the eight months dry season. This is possible by constructing storage reservoirs of capacity 100 Tmcft across the Ganges tributaries located up stream of Narora city and reserving the stored water only for minimum environmental flows. In addition, a series of cascading barrage cum bridges are to be constructed across the river from Kanpur to Allahabad to increase the surface area of impounded polluted water in the river so that it serves as vast natural oxidation ponds. The accumulated sediments/sludge would get washed away during the annual monsoon floods. Already, a number of barrages are planned between Farakka and Allahabad to make the 1620 km length of the river navigable from Haldia to Allahabad under the National Waterway 1 project which can be extended up the Kanpur.
"
"
","
"
"Statistics of the pollution in the Ganges or Ganga
","A 2006 measurement of pollution in the Ganges revealed that river water monitoring over the previous 12 years had demonstrated fecal coliform counts up to 100000000 MPN (most probable number) per 100 mL and biological oxygen demand levels averaging over 40 mg/L in the most polluted part of the river in Varanasi. The overall rate of water-borne/enteric disease incidence, including acute gastrointestinal disease, was estimated to be about 66%. A systematic classification done by Uttarakhand Environment Protection and Pollution Control Board's (UEPPCB) on river waters into the categories A: safe for drinking, B: safe for bathing, C: safe for agriculture, and D: excessive pollution, put the Ganges in D. Coliform bacteria levels in the Ganges have also been tested to be at 5500, a level too high to be safe for agricultural use let alone drinking and bathing. The leather industry in Kanpur which employs around 50000 people in more than 400 tanneries uses chemicals such as toxic chromium compounds. Effectively, chromium levels have not decreased in the Ganges even after a common treatment plant was established in 1995. It now stands at more than 70 times the recommended maximum level. A study conducted by the National Cancer Registry Program (NCRP) under the Indian Council of Medical Research in 2012, suggested that ""those living along its banks in Uttar Pradesh, Bihar and Bengal are more prone to cancer than anywhere else in the country"". In 2020, a study showed that the level of cleaniless has significantly improved in the recent years in terms of toxic heavy metals. This study was supported by Indo-US Science and Technology Forum (IUSSTF).
"
"
","
"
